0.1 0.180967 0.063899 0.0347739 0.0225844
0.2 0.327492 0.115167 0.0626267 0.0406631
0.3 0.444491 0.155196 0.0842818 0.0546981
0.4 0.536256 0.185258 0.100408 0.0651181
0.5 0.606531 0.206511 0.11162 0.0723205
0.6 0.658574 0.220012 0.118489 0.0766729
0.7 0.695219 0.226722 0.121536 0.0785154
0.8 0.718926 0.227514 0.121242 0.0781615
0.9 0.731825 0.223181 0.118048 0.0759005
1 0.735759 0.214441 0.11236 0.0719985
1.1 0.732316 0.201943 0.104547 0.0666998
1.2 0.722866 0.186273 0.0949463 0.0602285
1.3 0.708583 0.16796 0.0838666 0.0527896
1.4 0.690471 0.147478 0.0715876 0.0445701
1.5 0.66939 0.125255 0.0583634 0.0357404
1.6 0.646069 0.101672 0.0444241 0.0264553
1.7 0.621124 0.0770681 0.0299771 0.0168549
1.8 0.595076 0.0517479 0.0152091 0.00706572
1.9 0.568361 0.0259794 0.000287551 -0.00279856
2 0.541341 0 -0.0146381 -0.0126361
2.1 0.514317 -0.0259816 -0.0294349 -0.0223559
2.2 0.487534 -0.0517826 -0.0439853 -0.0318777
2.3 0.461191 -0.0772441 -0.0581857 -0.0411303
2.4 0.435446 -0.102229 -0.0719459 -0.0500516
2.5 0.410425 -0.126618 -0.0851873 -0.0585878
2.6 0.386223 -0.150313 -0.0978428 -0.0666924
2.7 0.36291 -0.173228 -0.109855 -0.0743263
2.8 0.340536 -0.195295 -0.121176 -0.0814565
2.9 0.319135 -0.216455 -0.131768 -0.0880563
3 0.298722 -0.236665 -0.141597 -0.0941043
3.1 0.279305 -0.25589 -0.15064 -0.0995841
3.2 0.260878 -0.274104 -0.158879 -0.104484
3.3 0.243429 -0.291291 -0.166303 -0.108796
3.4 0.226938 -0.307441 -0.172903 -0.112518
3.5 0.211382 -0.322551 -0.178679 -0.115648
3.6 0.196731 -0.336626 -0.183633 -0.11819
3.7 0.182954 -0.349672 -0.187771 -0.120149
3.8 0.170018 -0.361703 -0.191102 -0.121534
3.9 0.157887 -0.372734 -0.193641 -0.122356
4 0.146525 -0.382786 -0.195402 -0.122626
4.1 0.135896 -0.391881 -0.196403 -0.122361
4.2 0.125963 -0.400045 -0.196664 -0.121575
4.3 0.11669 -0.407304 -0.196208 -0.120286
4.4 0.108041 -0.413686 -0.195057 -0.118513
4.5 0.099981 -0.419223 -0.193236 -0.116276
4.6 0.0924769 -0.423944 -0.190772 -0.113594
4.7 0.0854956 -0.427883 -0.18769 -0.11049
4.8 0.0790056 -0.43107 -0.184017 -0.106984
4.9 0.0729765 -0.433538 -0.179783 -0.1031
5 0.0673795 -0.435321 -0.175014 -0.0988591
5.1 0.0621868 -0.436451 -0.16974 -0.0942847
5.2 0.0573723 -0.436961 -0.163989 -0.0893995
5.3 0.0529109 -0.436882 -0.157789 -0.0842263
5.4 0.0487791 -0.436247 -0.15117 -0.078788
5.5 0.0449545 -0.435087 -0.144158 -0.073107
5.6 0.0414161 -0.433432 -0.136782 -0.0672059
5.7 0.038144 -0.431313 -0.12907 -0.0611067
5.8 0.0351196 -0.428758 -0.121048 -0.0548313
5.9 0.0323254 -0.425797 -0.112743 -0.048401
6 0.029745 -0.422457 -0.104181 -0.0418369
6.1 0.027363 -0.418765 -0.0953878 -0.0351594
6.2 0.0251649 -0.414747 -0.0863876 -0.0283886
6.3 0.0231374 -0.410427 -0.0772047 -0.0215439
6.4 0.0212679 -0.405831 -0.0678624 -0.0146442
6.5 0.0195447 -0.400981 -0.0583834 -0.00770789
6.6 0.0179569 -0.3959 -0.0487895 -0.000752596
6.7 0.0164942 -0.390608 -0.0391019 0.00620456
6.8 0.0151473 -0.385127 -0.029341 0.0131471
6.9 0.0139074 -0.379476 -0.0195264 0.0200593
7 0.0127663 -0.373674 -0.00967673 0.0269259
7.1 0.0117165 -0.367738 0.000189864 0.0337325
7.2 0.0107508 -0.361685 0.0100562 0.0404652
7.3 0.00986287 -0.355532 0.0199058 0.0471108
7.4 0.00904654 -0.349294 0.0297231 0.0536569
7.5 0.00829627 -0.342985 0.0394932 0.0600915
7.6 0.00760686 -0.336618 0.0492018 0.0664035
7.7 0.00697354 -0.330207 0.0588358 0.0725823
7.8 0.00639187 -0.323764 0.0683823 0.078618
7.9 0.00585775 -0.317301 0.0778295 0.0845013
8 0.0053674 -0.310827 0.0871663 0.0902235
8.1 0.00491733 -0.304353 0.096382 0.0957766
8.2 0.00450432 -0.297888 0.105467 0.101153
8.3 0.00412538 -0.291442 0.114412 0.106346
8.4 0.00377777 -0.285021 0.123208 0.11135
8.5 0.00345896 -0.278635 0.131848 0.116158
8.6 0.00316662 -0.27229 0.140324 0.120765
8.7 0.00289859 -0.265992 0.14863 0.125167
8.8 0.0026529 -0.259747 0.15676 0.129359
8.9 0.00242772 -0.253562 0.164707 0.133338
9 0.00222138 -0.24744 0.172467 0.137101
9.1 0.00203232 -0.241388 0.180036 0.140645
9.2 0.00185912 -0.235408 0.187409 0.143968
9.3 0.00170049 -0.229505 0.194583 0.147068
9.4 0.00155521 -0.223682 0.201555 0.149944
9.5 0.00142218 -0.217942 0.208322 0.152594
9.6 0.00130039 -0.212288 0.214882 0.155019
9.7 0.0011889 -0.206723 0.221233 0.157217
9.8 0.00108685 -0.201249 0.227373 0.15919
9.9 0.000993459 -0.195866 0.233303 0.160937
10 0.000907999 -0.190578 0.23902 0.16246
10.1 0.000829807 -0.185385 0.244525 0.163759
10.2 0.000758275 -0.180288 0.249817 0.164837
10.3 0.000692842 -0.175289 0.254897 0.165694
10.4 0.000632996 -0.170387 0.259765 0.166333
10.5 0.000578265 -0.165584 0.264423 0.166756
10.6 0.000528219 -0.160879 0.26887 0.166966
10.7 0.000482462 -0.156272 0.273109 0.166966
10.8 0.000440629 -0.151765 0.277141 0.166757
10.9 0.00040239 -0.147356 0.280968 0.166344
11 0.000367437 -0.143044 0.284592 0.16573
11.1 0.000335494 -0.138831 0.288014 0.164918
11.2 0.000306302 -0.134714 0.291237 0.163911
11.3 0.000279628 -0.130693 0.294264 0.162715
11.4 0.000255257 -0.126768 0.297097 0.161333
11.5 0.000232992 -0.122937 0.299739 0.159768
11.6 0.000212653 -0.1192 0.302193 0.158025
11.7 0.000194075 -0.115555 0.304461 0.156108
11.8 0.000177108 -0.112002 0.306547 0.154023
11.9 0.000161612 -0.108539 0.308455 0.151772
12 0.000147461 -0.105165 0.310186 0.149361
12.1 0.00013454 -0.101878 0.311746 0.146795
12.2 0.000122743 -0.0986776 0.313136 0.144078
12.3 0.000111973 -0.0955622 0.314361 0.141214
12.4 0.000102141 -0.0925304 0.315424 0.138209
12.5 9.31663e-05 -0.0895806 0.316329 0.135068
12.6 8.49748e-05 -0.0867114 0.31708 0.131795
12.7 7.74986e-05 -0.0839214 0.317679 0.128395
12.8 7.06758e-05 -0.081209 0.318131 0.124874
12.9 6.44497e-05 -0.0785727 0.318439 0.121235
13 5.87686e-05 -0.0760111 0.318608 0.117484
13.1 5.3585e-05 -0.0735225 0.31864 0.113626
13.2 4.88559e-05 -0.0711055 0.31854 0.109665
13.3 4.45415e-05 -0.0687586 0.318311 0.105606
13.4 4.06059e-05 -0.0664801 0.317957 0.101455
13.5 3.70159e-05 -0.0642686 0.317482 0.0972159
13.6 3.37415e-05 -0.0621226 0.31689 0.0928934
13.7 3.0755e-05 -0.0600405 0.316183 0.0884923
13.8 2.80314e-05 -0.0580209 0.315366 0.0840174
13.9 2.55477e-05 -0.0560622 0.314443 0.0794732
14 2.32828e-05 -0.054163 0.313416 0.0748643
14.1 2.12176e-05 -0.0523219 0.31229 0.0701953
14.2 1.93347e-05 -0.0505373 0.311068 0.0654706
14.3 1.76179e-05 -0.048808 0.309753 0.0606945
14.4 1.60528e-05 -0.0471323 0.30835 0.0558715
14.5 1.46261e-05 -0.0455091 0.306861 0.0510059
14.6 1.33255e-05 -0.0439368 0.305289 0.0461017
14.7 1.214e-05 -0.0424142 0.303639 0.0411632
14.8 1.10594e-05 -0.04094 0.301912 0.0361944
14.9 1.00746e-05 -0.0395127 0.300113 0.0311993
15 9.17707e-06 -0.0381312 0.298245 0.0261819
15.1 8.35911e-06 -0.0367942 0.296311 0.0211458
15.2 7.61373e-06 -0.0355005 0.294313 0.016095
15.3 6.93451e-06 -0.0342488 0.292255 0.0110331
15.4 6.31562e-06 -0.0330379 0.29014 0.0059636
15.5 5.75171e-06 -0.0318668 0.28797 0.000890099
15.6 5.23794e-06 -0.0307342 0.285749 -0.004184
15.7 4.76987e-06 -0.029639 0.283479 -0.00925536
15.8 4.34344e-06 -0.0285802 0.281162 -0.0143207
15.9 3.95499e-06 -0.0275566 0.278803 -0.0193769
16 3.60113e-06 -0.0265673 0.276402 -0.0244209
16.1 3.2788e-06 -0.0256112 0.273963 -0.0294495
16.2 2.98521e-06 -0.0246873 0.271488 -0.03446
16.3 2.7178e-06 -0.0237946 0.268979 -0.0394496
16.4 2.47425e-06 -0.0229322 0.266439 -0.0444153
16.5 2.25245e-06 -0.0220992 0.263871 -0.0493547
16.6 2.05045e-06 -0.0212947 0.261275 -0.0542651
16.7 1.8665e-06 -0.0205178 0.258655 -0.059144
16.8 1.69899e-06 -0.0197675 0.256013 -0.0639891
16.9 1.54646e-06 -0.0190432 0.253351 -0.068798
17 1.40758e-06 -0.0183439 0.25067 -0.0735685
17.1 1.28112e-06 -0.0176689 0.247973 -0.0782985
17.2 1.16599e-06 -0.0170175 0.245261 -0.0829858
17.3 1.06116e-06 -0.0163887 0.242537 -0.0876284
17.4 9.65729e-07 -0.015782 0.239801 -0.0922246
17.5 8.7885e-07 -0.0151967 0.237057 -0.0967724
17.6 7.9976e-07 -0.0146319 0.234305 -0.10127
17.7 7.27765e-07 -0.0140871 0.231547 -0.105716
17.8 6.62229e-07 -0.0135616 0.228785 -0.110108
17.9 6.02576e-07 -0.0130548 0.226019 -0.114446
18 5.48279e-07 -0.012566 0.223253 -0.118727
18.1 4.9886e-07 -0.0120947 0.220486 -0.122951
18.2 4.53881e-07 -0.0116402 0.217721 -0.127116
18.3 4.12945e-07 -0.0112021 0.214958 -0.13122
18.4 3.7569e-07 -0.0107797 0.2122 -0.135263
18.5 3.41786e-07 -0.0103726 0.209446 -0.139243
18.6 3.10932e-07 -0.00998016 0.206699 -0.14316
18.7 2.82856e-07 -0.00960196 0.203959 -0.147013
18.8 2.57307e-07 -0.00923749 0.201228 -0.1508
18.9 2.34059e-07 -0.00888629 0.198506 -0.154521
19 2.12906e-07 -0.00854791 0.195795 -0.158175
19.1 1.93659e-07 -0.0082219 0.193095 -0.161762
19.2 1.76148e-07 -0.00790784 0.190407 -0.16528
19.3 1.60215e-07 -0.00760531 0.187733 -0.168729
19.4 1.4572e-07 -0.00731391 0.185072 -0.172109
19.5 1.32532e-07 -0.00703326 0.182427 -0.175419
19.6 1.20535e-07 -0.00676298 0.179797 -0.178659
19.7 1.09621e-07 -0.0065027 0.177184 -0.181828
19.8 9.96929e-08 -0.00625208 0.174587 -0.184926
19.9 9.06615e-08 -0.00601078 0.172008 -0.187953
20 8.24461e-08 -0.00577847 0.169447 -0.190908
20.1 7.49734e-08 -0.00555482 0.166905 -0.193792
20.2 6.81762e-08 -0.00533954 0.164383 -0.196605
