0 0 1
0.125 0.124674 0.992188
0.326012 0.320254 0.94725
0.56622 0.536364 0.843734
0.823022 0.732969 0.679688
1.08634 0.884465 0.465349
1.35215 0.975457 0.216577
1.61891 0.997839 -0.0482534
1.88603 0.949503 -0.309905
2.1533 0.833751 -0.549584
2.42062 0.658793 -0.750174
2.68797 0.437076 -0.897396
2.95534 0.184374 -0.980789
3.22273 -0.0813408 -0.99444
3.49013 -0.341175 -0.937397
3.75754 -0.576657 -0.813735
4.02496 -0.771054 -0.632267
4.29239 -0.910554 -0.405911
4.55983 -0.985253 -0.150776
4.82729 -0.98986 0.114985
5.09475 -0.924066 0.372468
5.36223 -0.792572 0.603363
5.62971 -0.604751 0.791253
5.89721 -0.37398 0.922784
6.16472 -0.116689 0.988616
6.43224 0.148808 0.984084
6.69978 0.403616 0.909531
6.96732 0.629606 0.770283
7 0.65444 0.749299
