-1.2 0.174901 1.27823 -0.993714 -0.200831
-1.15 0.236772 1.1798 -3.00939 -0.190519
-1.1 0.29105 0.971762 -5.35355 -0.17728
-1.05 0.331915 0.642131 -7.83367 -0.161638
-1 0.353224 0.190672 -10.1753 -0.144415
-0.95 0.349192 -0.367625 -12.0501 -0.126738
-0.9 0.315203 -1.0009 -13.1202 -0.109996
-0.85 0.248643 -1.66128 -13.0919 -0.0957622
-0.8 0.149625 -2.28842 -11.7681 -0.0856747
-0.75 0.0214707 -2.8154 -9.08818 -0.0812872
-0.7 -0.12914 -3.17618 -5.15006 -0.0839036
-0.65 -0.292416 -3.31362 -0.209619 -0.0944137
-0.6 -0.456088 -3.18694 5.33926 -0.113153
-0.55 -0.606388 -2.7778 11.0003 -0.1398
-0.5 -0.729278 -2.09424 16.2215 -0.173334
-0.45 -0.811823 -1.17225 20.4483 -0.212054
-0.4 -0.843559 -0.0743627 23.1821 -0.253667
-0.35 -0.817733 1.11458 24.0387 -0.295448
-0.3 -0.732249 2.29449 22.8017 -0.334443
-0.25 -0.5902 3.3596 19.4637 -0.367727
-0.2 -0.399887 4.20937 14.2436 -0.392656
-0.15 -0.174268 4.75974 7.57592 -0.407125
-0.1 0.070115 4.9529 0.0675573 -0.409769
-0.05 0.314639 4.76432 -7.57052 -0.400111
5.41234e-16 0.540363 4.2059 -14.6072 -0.37862
0.05 0.729835 3.32481 -20.3761 -0.346681
0.1 0.868742 2.19834 -24.3484 -0.306481
0.15 0.947226 0.925687 -26.185 -0.260817
0.2 0.96072 -0.382428 -25.7653 -0.212845
0.25 0.910251 -1.61482 -23.1912 -0.165814
0.3 0.802191 -2.67068 -18.7707 -0.122782
0.35 0.64749 -3.46904 -12.9833 -0.0863738
0.4 0.460492 -3.95618 -6.42822 -0.0585727
0.45 0.257446 -4.10999 0.239997 -0.0405922
0.5 0.0548906 -3.94096 6.38465 -0.0328192
0.55 -0.131928 -3.48943 11.46 -0.0348394
0.6 -0.290403 -2.81944 15.0734 -0.0455375
0.65 -0.411543 -2.00988 17.0266 -0.0632551
0.7 -0.490462 -1.14443 17.3265 -0.0859858
0.75 -0.526372 -0.301658 16.1651 -0.111582
0.8 -0.522104 0.453186 13.8726 -0.137952
0.85 -0.483307 1.07349 10.8537 -0.163216
0.9 -0.41744 1.53336 7.52171 -0.185831
0.95 -0.332757 1.82658 4.24188 -0.204647
1 -0.2374 1.96313 1.29311 -0.218929
1.05 -0.138703 1.9644 -1.14819 -0.228332
1.1 -0.0427533 1.8581 -3.00439 -0.232846
1.15 0.045807 1.6737 -4.27855 -0.232731
