0.1 0.257102 54.5982 101 0.128759
0.4 0.258752 54.5982 101.784 0.128724
0.7 0.269944 54.5982 186.583 0.128564
1 0.288773 54.5982 1229.16 0.128435
1.3 0.320056 54.5982 23848.7 0.128341
1.6 0.366501 54.5982 1.22012e+06 0.128309
1.9 0.42953 54.5982 1.5795e+08 0.128353
2.2 0.509483 54.5982 5.04217e+10 0.128474
2.5 0.626045 33.1155 3.86893e+13 0.130136
2.8 0.737981 33.1155 4.19665e+16 0.130419
3.1 0.865974 33.1155 1.79945e+17 0.130777
3.4 1.00977 33.1155 2.40893e+17 0.131202
3.7 1.18837 20.0855 3.33063e+17 0.133539
4 1.36302 20.0855 3.05289e+17 0.134146
4.3 1.57416 12.1825 3.75934e+17 0.137313
4.6 1.78014 12.1825 4.24457e+17 0.138123
4.9 2.02598 7.38906 5.146e+17 0.142579
